task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_081,81,1564180549,1972223701,2000,1569,200,4,0.03,0.8,0.3,0.4,2028.674,585,252,0.9206349206349206,0.9141419559614832,0.9130922188974846,0.9893990949351481,0.9130922188974846
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_082,82,1728755034,405271849,2000,1595,200,4,0.03,0.8,0.3,0.4,2053.645,585,252,0.9365079365079365,0.9217755437477427,0.9291242601093674,0.9934947754022085,0.9291242601093674
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_083,83,2030244744,10767239,2000,1561,200,4,0.03,0.8,0.3,0.4,2078.621,585,252,0.9126984126984127,0.8819361123184192,0.8920052803880943,0.9890338039100125,0.8920052803880943
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_084,84,1902208672,1070671928,2000,1615,200,4,0.03,0.8,0.3,0.4,2104.053,585,252,0.9126984126984127,0.8858416688602264,0.8939296575660213,0.9891891219352801,0.8939296575660213
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_085,85,437188328,1093294995,2000,1573,200,4,0.03,0.8,0.3,0.4,2129.068,585,252,0.9007936507936508,0.8983779391149446,0.8914211661676165,0.9842889414653219,0.8914211661676165
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_086,86,569732060,1216543210,2000,1589,200,4,0.03,0.8,0.3,0.4,2154.129,585,252,0.9206349206349206,0.9141419559614832,0.9139177309691296,0.992564078507673,0.9139177309691296
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_087,87,1213623860,1106407256,2000,1576,200,4,0.03,0.8,0.3,0.4,2178.974,585,252,0.9166666666666666,0.902625767490833,0.9003156176793485,0.9911086541716686,0.9003156176793485
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_088,88,465155058,788495577,2000,1542,200,4,0.03,0.8,0.3,0.4,2203.697,585,252,0.9166666666666666,0.9035241067110684,0.9113636076319425,0.9892996783796054,0.9113636076319425
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_089,89,1826389496,1550990465,2000,1594,200,4,0.03,0.8,0.3,0.4,2228.801,585,252,0.9365079365079365,0.9222953408791787,0.9162094856284826,0.9960999474030656,0.9162094856284826
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_090,90,59013882,1732958542,2000,1553,200,4,0.03,0.8,0.3,0.4,2253.826,585,252,0.9325396825396826,0.9189688075809423,0.9264271268156159,0.9915882660402218,0.9264271268156159
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_091,91,1820029121,1863383000,2000,1564,200,4,0.03,0.8,0.3,0.4,2278.802,585,252,0.9365079365079365,0.9087819928132863,0.919458919409972,0.9914876806580575,0.919458919409972
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_092,92,916571709,591872772,2000,1596,200,4,0.03,0.8,0.3,0.4,2303.77,585,252,0.9087301587301587,0.8979106343774678,0.8977059511569011,0.9859570647930067,0.8977059511569011
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_093,93,7507171,1234483289,2000,1593,200,4,0.03,0.8,0.3,0.4,2329.373,585,252,0.9246031746031746,0.9131286078955906,0.9179530358953083,0.9918148407893876,0.9179530358953083
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_094,94,334602821,2057936180,2000,1600,200,4,0.03,0.8,0.3,0.4,2354.461,585,252,0.9325396825396826,0.9174651989201564,0.9201357466063349,0.9904325963444609,0.9201357466063349
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_095,95,2084053438,1202214198,2000,1588,200,4,0.03,0.8,0.3,0.4,2379.185,585,252,0.9206349206349206,0.8857529062115489,0.892872266790804,0.9905919515022696,0.892872266790804
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_096,96,1104083784,1914301529,2000,1596,200,4,0.03,0.8,0.3,0.4,2404.437,585,252,0.9325396825396826,0.9117629639378784,0.9156359703192326,0.9915101812040487,0.9156359703192326
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_097,97,831625787,1128941209,2000,1569,200,4,0.03,0.8,0.3,0.4,2429.336,585,252,0.9365079365079365,0.8939062911292446,0.9114918833598671,0.9926316263870083,0.9114918833598671
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_098,98,983913446,625532263,2000,1631,200,4,0.03,0.8,0.3,0.4,2454.772,585,252,0.9563492063492064,0.943412740194788,0.9483900854136789,0.9955078149573471,0.9483900854136789
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_099,99,474556755,310436243,2000,1579,200,4,0.03,0.8,0.3,0.4,2479.941,585,252,0.9246031746031746,0.8973545669913134,0.9116870897085741,0.9902976565933628,0.9116870897085741
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_100,100,1922062794,1540145395,2000,1588,200,4,0.03,0.8,0.3,0.4,2504.957,585,252,0.9285714285714286,0.9131548540925702,0.922586173837902,0.988066297595142,0.922586173837902
