task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_058,58,1186768348,674231771,2000,1627,200,4,0.03,0.8,0.3,0.4,1231.093,508,218,0.9036697247706422,0.820852102102102,0.8195920720440437,0.9676838342764346,0.8195920720440437
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_059,59,121964475,1355540718,2000,1598,200,4,0.03,0.8,0.3,0.4,1251.814,508,218,0.8715596330275229,0.7815315315315315,0.8056774601237688,0.9509152282349845,0.8056774601237688
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_060,60,104475764,2038956420,2000,1612,200,4,0.03,0.8,0.3,0.4,1272.906,508,218,0.8990825688073395,0.8255442942942942,0.8224458874458873,0.9356589610137828,0.8224458874458873
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_061,61,1519110150,493852435,2000,1642,200,4,0.03,0.8,0.3,0.4,1294.056,508,218,0.9174311926605505,0.8338963963963963,0.841333503098209,0.969647187801075,0.841333503098209
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_062,62,1111450730,1718769516,2000,1646,200,4,0.03,0.8,0.3,0.4,1315.291,508,218,0.8944954128440367,0.7913851351351351,0.8221613646214481,0.9704564330215406,0.8221613646214481
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_063,63,1795932057,1639887215,2000,1630,200,4,0.03,0.8,0.3,0.4,1336.373,508,218,0.9036697247706422,0.8534159159159159,0.840299689641795,0.9631562677799765,0.840299689641795
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_064,64,390477521,35861627,2000,1649,200,4,0.03,0.8,0.3,0.4,1357.902,508,218,0.9036697247706422,0.8221659159159158,0.8342510814708003,0.9331007091023151,0.8342510814708003
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_065,65,2006572191,483372769,2000,1614,200,4,0.03,0.8,0.3,0.4,1379.983,508,218,0.8990825688073395,0.7857545045045045,0.8315359758972413,0.9486425851703478,0.8315359758972413
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_066,66,539594567,972051470,2000,1607,200,4,0.03,0.8,0.3,0.4,1401.218,508,218,0.8853211009174312,0.7806869369369369,0.8109542554286302,0.9542196947962343,0.8109542554286302
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_067,67,1086625414,193962522,2000,1615,200,4,0.03,0.8,0.3,0.4,1422.089,508,218,0.8944954128440367,0.8065878378378378,0.8303061336597921,0.9599140729484134,0.8303061336597921
